start,end,duration,samples,track_id,athlete_id,role,position
4986.0,4987.0,1.0,1,track_0,,unknown,unknown
4986.0,4987.0,1.0,1,track_1,,unknown,unknown
4987.0,4988.0,1.0,1,track_0,,unknown,unknown
4987.0,4988.0,1.0,1,track_1,,unknown,unknown
4988.0,4989.0,1.0,1,track_0,,unknown,unknown
4988.0,4989.0,1.0,1,track_1,,unknown,unknown
4989.0,4990.0,1.0,1,track_0,,unknown,unknown
4989.0,4990.0,1.0,1,track_1,,unknown,unknown
4990.0,4991.0,1.0,1,track_0,,unknown,unknown
4990.0,4991.0,1.0,1,track_1,,unknown,unknown
4991.0,4992.0,1.0,1,track_0,,unknown,unknown
4991.0,4992.0,1.0,1,track_1,,unknown,unknown
4992.0,4993.0,1.0,1,track_0,,unknown,unknown
4992.0,4993.0,1.0,1,track_1,,unknown,unknown
4993.0,4994.0,1.0,1,track_0,,unknown,unknown
4993.0,4994.0,1.0,1,track_1,,unknown,unknown
4994.0,4995.0,1.0,1,track_0,,unknown,unknown
4994.0,4995.0,1.0,1,track_1,,unknown,unknown
4995.0,4996.0,1.0,1,track_0,,unknown,unknown
4995.0,4996.0,1.0,1,track_1,,unknown,unknown
4996.0,4997.0,1.0,1,track_0,,unknown,unknown
4996.0,4997.0,1.0,1,track_1,,unknown,unknown
4997.0,4998.0,1.0,1,track_0,,unknown,unknown
4997.0,4998.0,1.0,1,track_1,,unknown,unknown
4998.0,4999.0,1.0,1,track_0,,unknown,unknown
4998.0,4999.0,1.0,1,track_1,,unknown,unknown
4999.0,5000.0,1.0,1,track_0,,unknown,unknown
4999.0,5000.0,1.0,1,track_1,,unknown,unknown
5000.0,5001.0,1.0,1,track_0,,unknown,unknown
5000.0,5001.0,1.0,1,track_1,,unknown,unknown
5001.0,5002.0,1.0,1,track_0,,unknown,unknown
5001.0,5002.0,1.0,1,track_1,,unknown,unknown
5002.0,5003.0,1.0,1,track_0,,unknown,unknown
5002.0,5003.0,1.0,1,track_1,,unknown,unknown
5003.0,5004.0,1.0,1,track_0,,unknown,unknown
5003.0,5004.0,1.0,1,track_1,,unknown,unknown
5004.0,5005.0,1.0,1,track_0,,unknown,unknown
5004.0,5005.0,1.0,1,track_1,,unknown,unknown
5005.0,5006.0,1.0,1,track_0,,unknown,unknown
5005.0,5006.0,1.0,1,track_1,,unknown,unknown
5006.0,5007.0,1.0,1,track_0,,unknown,unknown
5006.0,5007.0,1.0,1,track_1,,unknown,unknown
5007.0,5008.0,1.0,1,track_0,,unknown,unknown
5007.0,5008.0,1.0,1,track_1,,unknown,unknown
5008.0,5009.0,1.0,1,track_0,,unknown,unknown
5008.0,5009.0,1.0,1,track_1,,unknown,unknown
5009.0,5010.0,1.0,1,track_0,,unknown,unknown
5009.0,5010.0,1.0,1,track_1,,unknown,unknown
5010.0,5011.0,1.0,1,track_0,,unknown,unknown
5010.0,5011.0,1.0,1,track_1,,unknown,unknown
5011.0,5012.0,1.0,1,track_0,,unknown,unknown
5011.0,5012.0,1.0,1,track_1,,unknown,unknown
5012.0,5013.0,1.0,1,track_0,,unknown,unknown
5012.0,5013.0,1.0,1,track_1,,unknown,unknown
5013.0,5014.0,1.0,1,track_0,,unknown,unknown
5013.0,5014.0,1.0,1,track_1,,unknown,unknown
5014.0,5015.0,1.0,1,track_0,,unknown,unknown
5014.0,5015.0,1.0,1,track_1,,unknown,unknown
5015.0,5016.0,1.0,1,track_0,,unknown,unknown
5015.0,5016.0,1.0,1,track_1,,unknown,unknown
5016.0,5017.0,1.0,1,track_0,,unknown,unknown
5016.0,5017.0,1.0,1,track_1,,unknown,unknown
5017.0,5018.0,1.0,1,track_0,,unknown,unknown
5017.0,5018.0,1.0,1,track_1,,unknown,unknown
5018.0,5019.0,1.0,1,track_0,,unknown,unknown
5018.0,5019.0,1.0,1,track_1,,unknown,unknown
5019.0,5020.0,1.0,1,track_0,,unknown,unknown
5019.0,5020.0,1.0,1,track_1,,unknown,unknown
5020.0,5021.0,1.0,1,track_0,,unknown,unknown
5020.0,5021.0,1.0,1,track_1,,unknown,unknown
5021.0,5022.0,1.0,1,track_0,,unknown,unknown
5021.0,5022.0,1.0,1,track_1,,unknown,unknown
5022.0,5023.0,1.0,1,track_0,,unknown,unknown
5022.0,5023.0,1.0,1,track_1,,unknown,unknown
5023.0,5024.0,1.0,1,track_0,,unknown,unknown
5023.0,5024.0,1.0,1,track_1,,unknown,unknown
5024.0,5025.0,1.0,1,track_0,,unknown,unknown
5024.0,5025.0,1.0,1,track_1,,unknown,unknown
5025.0,5026.0,1.0,1,track_0,,unknown,unknown
5025.0,5026.0,1.0,1,track_1,,unknown,unknown
5026.0,5027.0,1.0,1,track_0,,unknown,unknown
5026.0,5027.0,1.0,1,track_1,,unknown,unknown
5027.0,5028.0,1.0,1,track_0,,unknown,unknown
5027.0,5028.0,1.0,1,track_1,,unknown,unknown
5028.0,5029.0,1.0,1,track_0,,unknown,unknown
5028.0,5029.0,1.0,1,track_1,,unknown,unknown
5029.0,5030.0,1.0,1,track_0,,unknown,unknown
5029.0,5030.0,1.0,1,track_1,,unknown,unknown
5030.0,5031.0,1.0,1,track_0,,unknown,unknown
5030.0,5031.0,1.0,1,track_1,,unknown,unknown
5031.0,5032.0,1.0,1,track_0,,unknown,unknown
5031.0,5032.0,1.0,1,track_1,,unknown,unknown
5032.0,5033.0,1.0,1,track_0,,unknown,unknown
5032.0,5033.0,1.0,1,track_1,,unknown,unknown
5033.0,5034.0,1.0,1,track_0,,unknown,unknown
5033.0,5034.0,1.0,1,track_1,,unknown,unknown
5034.0,5035.0,1.0,1,track_0,,unknown,unknown
5034.0,5035.0,1.0,1,track_1,,unknown,unknown
5035.0,5036.0,1.0,1,track_0,,unknown,unknown
5035.0,5036.0,1.0,1,track_1,,unknown,unknown
5036.0,5037.0,1.0,1,track_0,,unknown,unknown
5036.0,5037.0,1.0,1,track_1,,unknown,unknown
5037.0,5038.0,1.0,1,track_0,,unknown,unknown
5037.0,5038.0,1.0,1,track_1,,unknown,unknown
5038.0,5039.0,1.0,1,track_0,,unknown,unknown
5038.0,5039.0,1.0,1,track_1,,unknown,unknown
5039.0,5040.0,1.0,1,track_0,,unknown,unknown
5039.0,5040.0,1.0,1,track_1,,unknown,unknown
5040.0,5041.0,1.0,1,track_0,,unknown,unknown
5040.0,5041.0,1.0,1,track_1,,unknown,unknown
5041.0,5042.0,1.0,1,track_0,,unknown,unknown
5041.0,5042.0,1.0,1,track_1,,unknown,unknown
5042.0,5043.0,1.0,1,track_0,,unknown,unknown
5042.0,5043.0,1.0,1,track_1,,unknown,unknown
5043.0,5044.0,1.0,1,track_0,,unknown,unknown
5043.0,5044.0,1.0,1,track_1,,unknown,unknown
5044.0,5045.0,1.0,1,track_0,,unknown,unknown
5044.0,5045.0,1.0,1,track_1,,unknown,unknown
5045.0,5046.0,1.0,1,track_0,,unknown,unknown
5045.0,5046.0,1.0,1,track_1,,unknown,unknown
5046.0,5047.0,1.0,1,track_0,,unknown,unknown
5046.0,5047.0,1.0,1,track_1,,unknown,unknown
5047.0,5048.0,1.0,1,track_0,,unknown,unknown
5047.0,5048.0,1.0,1,track_1,,unknown,unknown
5048.0,5049.0,1.0,1,track_0,,unknown,unknown
5048.0,5049.0,1.0,1,track_1,,unknown,unknown
5049.0,5050.0,1.0,1,track_0,,unknown,unknown
5049.0,5050.0,1.0,1,track_1,,unknown,unknown
5050.0,5051.0,1.0,1,track_0,,unknown,unknown
5050.0,5051.0,1.0,1,track_1,,unknown,unknown
5051.0,5052.0,1.0,1,track_0,,unknown,unknown
5051.0,5052.0,1.0,1,track_1,,unknown,unknown
5052.0,5053.0,1.0,1,track_0,,unknown,unknown
5052.0,5053.0,1.0,1,track_1,,unknown,unknown
5053.0,5054.0,1.0,1,track_0,,unknown,unknown
5053.0,5054.0,1.0,1,track_1,,unknown,unknown
5054.0,5055.0,1.0,1,track_0,,unknown,unknown
5054.0,5055.0,1.0,1,track_1,,unknown,unknown
5055.0,5056.0,1.0,1,track_0,,unknown,unknown
5055.0,5056.0,1.0,1,track_1,,unknown,unknown
5056.0,5057.0,1.0,1,track_0,,unknown,unknown
